facsex,salary,yrsteach,nstudents,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22
1,22,8,19,4,4,4,4,4,3,4,3,3,4
2,29,2,16,1,3,3,2,2,2,4,3,2,4
1,19,16,55,5,5,5,5,5,5,5,4,4,4
2,36,26,32,4,4,4,4,4,3,4,3,4,4
1,46,14,103,4,4,5,4,4,4,4,3,4,4
2,31,5,13,1,2,3,3,5,3,5,3,2,3
2,25,11,11,4,5,5,4,5,5,5,5,4,4
2,33,6,16,3,4,4,4,4,4,4,3,4,4
2,28,11,14,5,5,5,5,5,5,5,5,5,5
2,41,9,65,3,3,4,2,3,1,3,1,4,3
1,41,21,43,4,5,5,5,3,4,3,4,2,2
2,19,6,18,5,5,3,5,4,5,3,3,2,2
2,25,9,13,4,4,3,2,4,4,4,4,2,2
1,32,11,128,5,5,4,4,4,3,4,3,4,4
1,28,7,207,5,5,5,4,5,1,2,3,4,4
1,44,25,44,5,5,5,5,4,4,5,4,3,4
1,33,5,50,5,5,4,4,4,4,5,3,4,4
1,45,35,10,4,4,4,4,4,4,3,4,4,3
1,28,7,207,5,5,5,5,5,5,5,5,5,5
2,28,11,43,5,5,5,4,4,4,5,3,2,1
1,34,19,15,5,5,5,5,5,5,5,5,5,5
1,45,21,23,3,4,4,2,4,4,4,3,4,4
1,46,14,103,5,5,5,5,5,5,5,5,5,5
1,19,16,55,4,4,4,4,3,2,4,4,4,2
1,46,14,103,5,5,4,4,4,3,4,3,4,2
1,52,28,6,5,5,5,5,5,5,5,5,5,4
1,49,17,23,3,4,5,4,3,3,3,3,4,1
2,28,11,43,5,5,5,5,5,5,5,5,5,5
2,42,10,34,4,4,4,3,4,4,5,0,5,4
1,32,3,256,5,5,5,5,5,5,5,5,5,5
1,41,10,43,5,5,5,5,5,4,4,4,4,3
2,33,6,34,5,5,5,4,5,5,5,3,4,2
1,42,27,41,4,5,5,5,5,5,4,0,2,5
1,32,14,21,4,5,4,4,4,5,5,5,5,5
2,25,8,10,2,4,4,3,4,4,4,2,4,4
1,40,17,17,5,5,5,5,5,5,5,5,5,5
1,32,3,256,5,5,5,5,4,3,3,3,4,1
1,33,8,29,5,5,5,5,5,5,5,4,5,5
1,44,25,44,5,5,5,5,4,5,5,5,4,4
2,42,10,34,5,5,5,5,5,4,5,5,5,3
2,33,7,12,5,5,5,5,5,5,5,4,4,4
1,32,11,59,4,5,5,3,4,4,5,3,4,4
1,32,11,128,5,4,4,4,4,3,4,3,3,4
2,39,15,41,5,5,4,4,4,4,4,3,3,4
1,32,11,128,5,5,5,4,4,3,3,3,3,2
1,44,11,17,5,5,5,5,5,5,3,3,4,5
1,22,8,19,5,5,4,4,5,5,5,3,5,4
1,35,7,210,4,5,4,4,3,3,3,3,2,2
1,28,7,207,5,5,5,4,5,4,4,4,4,3
2,32,6,55,4,4,4,4,4,5,4,4,4,4
1,41,12,10,5,5,5,5,5,5,5,5,5,5
2,32,6,55,4,4,4,4,5,4,5,3,4,4
1,49,27,36,5,5,4,5,5,4,5,3,4,5
1,19,16,55,4,5,5,5,3,4,5,0,4,4
2,33,9,50,5,5,5,5,5,3,3,4,3,0
1,41,14,35,4,4,3,2,2,2,4,3,2,3
2,33,9,23,4,5,5,5,5,4,4,4,4,4
2,28,11,43,5,5,5,5,5,5,5,5,4,5
1,22,8,19,4,5,5,4,4,5,5,5,4,4
1,33,6,47,4,5,5,4,4,3,3,3,3,4
1,28,7,207,5,5,5,5,4,4,5,4,5,5
2,29,2,40,4,4,4,4,4,2,2,3,3,4
1,32,3,256,5,5,5,5,3,4,3,3,5,4
2,22,2,19,4,5,4,4,2,1,1,2,1,3
1,19,16,23,4,4,4,4,2,3,4,4,2,4
1,41,12,31,5,5,5,4,5,5,4,5,4,5
2,36,26,56,4,4,5,4,4,4,5,4,4,2
2,28,1,13,5,5,5,5,4,4,4,3,4,3
1,44,25,44,4,5,5,3,3,3,2,3,3,4
1,26,8,14,5,5,5,5,5,5,5,3,4,4
2,36,26,56,5,5,5,5,5,3,4,4,4,4
2,25,9,13,4,4,4,4,4,4,4,4,4,4
1,35,21,10,4,4,4,4,4,3,4,4,3,2
2,32,25,17,5,5,5,5,5,5,5,5,5,5
1,34,18,34,4,2,2,2,2,4,2,2,2,2
2,42,10,34,4,4,4,4,3,2,3,4,3,4
1,44,25,44,5,5,5,4,4,3,5,3,4,4
1,39,18,14,4,5,5,5,4,3,3,0,4,1
1,35,7,210,4,5,4,4,4,3,4,3,4,3
1,32,3,256,5,5,5,5,5,5,4,5,5,5
1,26,6,20,5,5,5,3,4,5,5,3,3,3
1,33,11,25,5,5,5,5,5,5,5,5,5,5
1,35,7,40,4,5,5,5,5,3,4,3,4,4
1,42,27,41,4,5,3,4,4,4,3,3,4,3
1,29,2,5,5,5,5,5,4,3,5,3,4,5
1,46,14,103,4,4,3,2,3,2,4,4,4,4
2,23,3,5,4,4,4,5,5,4,4,5,4,3
1,33,5,50,5,5,5,5,5,5,5,4,4,5
1,32,11,128,5,5,5,5,5,5,5,3,4,5
1,32,11,128,5,5,5,4,5,4,4,4,4,4
1,35,8,29,5,5,5,5,5,4,4,5,4,4
1,35,7,210,4,5,5,5,2,4,4,3,4,2
2,42,10,34,5,5,5,4,2,4,4,2,3,1
2,26,8,23,4,4,4,3,4,4,4,3,3,2
1,35,7,210,4,5,5,4,3,3,2,3,3,2
2,33,2,24,5,5,4,4,4,4,4,4,4,4
2,28,4,11,3,3,3,2,3,4,4,4,3,2
1,46,14,103,5,5,5,5,5,5,5,3,5,5
1,26,8,12,5,5,5,5,5,4,5,4,3,2
2,23,9,6,5,5,5,5,5,5,5,5,5,5
1,22,8,19,5,4,5,4,4,5,5,5,5,4
2,28,11,43,4,4,4,2,3,3,4,4,2,4
2,22,2,40,5,5,4,5,5,4,1,5,4,3
2,31,2,46,4,4,4,4,2,4,5,4,4,4
1,49,17,23,5,5,5,5,5,5,5,4,4,4
1,21,7,21,4,4,4,4,4,5,4,4,4,4
2,26,8,23,4,4,4,3,3,3,3,3,2,1
1,45,21,23,3,5,5,2,3,4,4,5,2,1
1,32,14,21,4,5,4,4,3,4,4,4,4,3
1,44,25,44,4,4,4,3,2,4,4,0,2,1
2,33,9,50,5,3,4,5,5,2,2,3,4,5
1,41,14,35,5,5,5,5,5,4,5,4,4,4
1,33,6,47,4,5,5,5,3,5,5,3,5,5
1,28,7,207,5,5,4,5,4,5,5,3,4,4
2,29,2,40,5,5,5,5,5,5,5,5,3,4
2,16,5,17,4,3,4,4,3,3,4,4,3,3
1,21,7,18,5,5,5,5,5,5,5,5,5,5
1,19,16,28,5,5,5,5,4,4,4,4,4,4
1,35,7,210,4,4,4,4,4,1,2,2,3,3
1,41,12,31,5,5,5,5,5,5,5,5,5,5
1,19,16,55,1,1,1,1,1,1,1,4,1,1
1,34,19,21,3,3,3,3,3,4,4,3,3,2
2,25,5,15,5,3,5,4,4,4,5,5,4,4
2,26,3,9,5,5,4,5,5,4,4,4,4,2
1,48,17,45,4,5,5,5,5,5,5,5,5,4
2,29,8,7,5,5,5,5,5,5,5,5,5,5
1,24,3,15,5,4,4,4,5,5,5,5,5,4
1,35,7,210,5,5,5,5,5,4,4,4,5,5
1,34,15,18,5,5,4,5,5,4,3,4,4,4
1,35,7,210,5,5,5,5,5,2,4,1,5,2
2,30,23,6,4,4,4,4,3,3,4,3,3,4
1,35,7,210,4,4,3,2,1,1,1,2,1,1
1,32,14,21,5,5,5,5,5,5,5,4,5,4
2,46,6,37,4,5,4,4,4,5,5,3,3,4
2,32,6,55,4,4,5,5,5,5,5,4,4,5
1,24,3,15,4,5,4,5,5,5,5,5,4,4
1,30,10,15,5,5,5,5,5,5,5,5,5,5
2,36,26,32,5,5,5,5,5,4,5,5,5,5
1,48,16,36,5,5,5,5,5,5,5,3,5,5
2,39,15,41,5,5,5,5,5,5,3,4,4,4
2,36,26,32,5,5,5,4,4,3,4,5,4,5
1,40,14,11,4,5,4,4,4,5,5,4,4,4
2,33,2,24,5,5,5,5,5,5,4,5,4,4
2,22,2,40,4,4,4,4,4,4,4,4,4,4
2,30,11,3,4,5,4,5,4,4,4,3,4,4
1,33,6,47,4,5,5,5,4,4,3,3,4,5
1,41,21,43,4,5,4,4,4,4,4,4,4,4
2,21,5,23,5,5,5,5,5,5,5,4,5,5
1,21,3,9,5,5,4,4,4,4,4,4,5,2
1,28,7,207,5,5,5,5,5,5,5,3,5,5
1,45,21,23,4,5,5,4,4,4,4,5,4,4
2,31,2,46,5,5,5,4,4,4,5,5,5,4
1,34,19,21,4,4,4,2,3,3,4,4,3,3
1,28,7,207,5,5,5,4,4,5,5,3,5,4
1,31,12,18,5,5,5,5,5,3,5,4,5,4
1,34,18,39,4,5,4,5,4,4,4,3,4,4
1,44,11,17,5,5,5,5,5,5,5,5,5,3
2,25,8,16,4,5,5,4,5,4,5,5,5,5
1,28,7,207,5,4,4,5,4,5,5,3,4,5
1,49,21,23,4,5,4,3,4,5,4,5,3,4
2,36,26,56,4,4,4,4,4,3,4,4,3,4
1,29,8,20,5,5,5,5,4,4,4,3,3,4
1,29,1,44,4,5,4,5,4,4,4,3,4,4
1,44,25,44,4,5,5,4,4,4,4,3,3,4
1,32,3,256,5,5,5,5,5,3,0,4,3,4
2,42,10,34,5,4,4,5,4,4,5,3,2,3
2,21,5,23,5,5,5,5,5,4,5,4,5,3
1,33,8,29,4,4,5,4,4,4,4,3,4,4
1,35,8,62,4,5,3,3,3,4,3,3,2,4
1,34,19,15,5,5,5,4,5,5,4,3,5,5
2,31,2,46,5,5,5,5,5,5,5,4,4,4
1,35,7,210,4,4,2,3,3,3,3,3,3,3
2,29,2,40,4,5,2,4,4,4,4,3,4,4
2,31,2,46,5,5,5,5,5,5,5,5,5,5
1,45,17,5,4,5,4,4,4,3,4,3,3,5
1,31,12,18,4,5,5,4,5,4,4,3,4,4
1,32,3,49,4,5,4,4,4,4,5,4,3,4
2,21,8,14,5,5,5,5,5,4,4,5,5,1
2,31,2,46,4,4,4,4,2,5,5,4,4,3
1,32,3,256,5,5,5,5,4,5,4,4,3,3
1,24,8,15,5,5,5,5,5,5,5,4,5,4
2,33,9,50,4,5,5,5,5,3,3,3,3,2
1,21,3,9,4,4,4,4,4,4,4,4,4,4
1,32,11,128,5,5,5,4,4,3,5,3,3,4
2,41,9,65,5,5,5,5,5,4,5,4,4,4
1,21,7,9,5,5,5,5,5,5,5,4,5,5
2,27,9,11,5,5,5,5,5,5,5,5,5,5
2,42,10,34,4,3,4,5,4,5,5,5,4,5
1,48,16,36,5,5,5,5,5,5,5,3,3,5
2,31,2,46,5,5,5,4,4,4,5,4,4,4
2,22,2,40,5,5,5,5,4,3,3,5,3,3
2,38,27,6,4,4,4,3,3,4,4,4,4,4
2,30,11,43,5,5,5,4,4,5,5,5,5,5
1,27,13,6,5,5,5,5,4,5,4,4,4,4
2,41,9,65,5,5,5,4,5,5,4,3,4,4
1,48,17,45,4,4,4,4,4,4,4,0,4,0
1,35,8,29,5,5,5,5,5,5,5,5,5,4
1,32,11,128,4,5,5,4,4,4,3,3,4,4
2,19,6,18,5,4,5,5,5,5,5,4,3,4
1,46,14,103,5,4,5,5,4,4,3,3,4,4
2,21,5,23,4,4,4,5,4,4,4,3,5,4
2,23,6,12,5,5,5,5,5,5,5,3,5,5
1,34,19,21,4,5,4,3,4,4,5,4,4,4
1,35,8,29,5,5,5,4,5,4,5,4,4,4
1,30,10,22,5,5,5,5,4,4,5,4,4,2
1,28,7,207,5,5,5,5,5,5,5,5,5,5
1,32,3,256,5,5,5,5,5,5,5,5,5,5
2,46,6,37,3,2,1,0,0,0,0,0,1,0
1,32,3,256,5,5,5,5,5,5,5,5,5,2
2,32,10,18,5,5,5,5,5,5,5,5,4,5
1,35,7,210,5,5,4,4,3,3,2,2,4,3
1,45,35,10,4,4,5,3,4,4,3,3,4,4
2,21,8,11,5,5,4,5,4,4,4,3,4,3
2,28,11,43,5,4,4,4,4,4,4,3,4,2
2,35,7,53,5,4,4,4,3,3,4,3,3,4
1,29,8,20,5,5,5,5,5,4,3,4,3,4
1,32,3,49,5,5,5,5,5,5,5,5,4,4
1,40,16,12,5,5,5,5,5,3,5,5,4,4
1,35,7,210,4,5,4,2,4,3,3,3,4,1
2,33,9,50,5,5,5,5,5,4,3,5,4,5
1,35,8,29,4,5,5,5,4,4,4,4,3,3
1,32,11,128,5,5,5,5,5,5,5,5,5,5
2,29,12,15,5,5,5,4,5,5,5,4,5,4
1,33,6,47,5,5,5,5,5,4,4,3,4,3
2,39,15,41,5,5,5,5,5,4,5,5,5,5
1,49,17,23,5,5,5,5,5,5,5,5,5,5
1,32,3,256,5,5,5,5,5,4,4,4,4,3
2,39,15,41,4,5,4,4,4,3,4,3,4,3
1,41,14,35,5,4,5,5,5,5,5,4,3,4
1,35,7,210,4,4,4,4,4,3,4,4,4,4
1,49,27,36,5,5,5,5,5,5,5,5,5,5
1,21,7,18,4,4,4,4,5,5,5,3,5,5
2,33,9,50,4,4,5,5,4,4,2,5,3,4
1,35,7,210,4,4,4,5,3,1,1,1,3,1
1,42,13,5,5,5,5,5,5,5,5,3,5,3
2,26,10,27,5,5,5,5,4,4,3,5,5,3
1,28,7,207,5,5,5,5,4,4,4,3,4,3
1,41,12,31,5,5,5,4,5,4,4,4,4,4
1,33,5,50,5,5,5,5,5,5,5,5,5,5
1,35,8,29,5,5,5,5,5,5,5,5,4,4
2,38,27,6,4,4,4,4,4,4,4,4,4,3
1,33,5,50,4,4,4,4,2,1,1,1,3,3
2,41,9,65,4,4,4,4,4,4,4,4,4,4
1,26,6,20,5,5,4,5,5,4,5,4,4,4
1,33,6,47,4,4,5,4,4,4,4,3,3,2
2,30,11,19,4,5,5,5,4,4,4,4,4,4
1,32,11,128,5,4,4,3,3,4,4,4,4,3
1,45,21,56,5,5,5,5,5,5,5,5,5,5
1,33,11,25,5,5,5,5,5,5,5,5,5,5
1,45,21,56,5,5,5,4,4,5,5,0,4,5
2,32,25,17,5,5,5,5,5,5,5,5,5,5
1,32,3,256,5,5,5,4,4,3,4,3,4,4
1,28,7,207,5,5,5,5,5,4,4,3,4,4
2,29,2,16,2,4,3,4,2,4,4,4,2,2
1,33,6,47,3,4,4,5,4,4,4,3,4,4
1,35,7,210,4,5,5,4,2,3,3,3,4,3
1,32,3,256,5,5,5,5,5,4,3,4,5,5
1,42,27,41,5,5,5,5,5,4,5,3,1,5
1,32,11,128,5,5,5,5,4,3,4,4,2,4
1,40,17,17,5,5,5,5,5,5,5,5,5,5
1,32,11,59,5,5,4,5,5,4,4,3,4,3
2,41,9,14,5,5,5,4,4,4,4,4,4,4
1,46,14,103,4,3,4,5,3,3,3,3,4,2
1,35,7,40,5,5,5,4,3,4,4,3,4,4
1,35,7,210,4,4,3,4,3,3,3,3,4,1
2,30,11,43,4,5,5,4,5,4,5,3,4,4
1,19,16,23,4,5,4,3,3,4,4,4,4,4
1,37,36,15,4,5,5,4,4,5,5,3,4,3
2,35,7,53,3,3,3,4,2,4,3,2,2,2
2,35,7,53,3,4,4,3,2,1,2,3,2,2
2,28,11,14,5,5,5,5,5,5,5,5,5,4
1,35,7,210,4,4,4,4,4,4,4,4,5,5
1,41,14,35,5,5,5,4,4,5,5,5,5,5
1,29,1,44,5,5,4,4,3,4,4,3,4,3
2,26,3,9,4,5,4,5,5,5,5,5,4,5
1,32,11,128,5,5,5,5,5,5,5,5,5,5
1,46,14,103,5,5,5,5,5,4,5,4,3,2
1,44,11,17,5,5,5,5,5,5,5,4,5,4
2,30,11,43,5,5,4,4,3,3,4,4,2,2
2,24,2,9,5,5,5,5,5,5,5,5,5,4
1,35,21,9,4,5,4,4,4,4,5,3,5,5
2,33,9,50,4,4,4,4,4,3,4,4,4,4
1,35,7,40,3,4,3,3,2,3,3,3,2,3
1,35,7,210,4,4,3,3,3,3,3,3,2,2
1,35,7,210,1,1,1,1,1,1,1,5,1,1
1,41,12,31,5,5,5,5,5,5,5,5,5,4
1,35,7,210,4,5,4,3,4,3,4,3,4,1
1,22,8,19,4,5,4,4,4,4,3,3,3,3
1,45,21,56,4,4,4,2,2,4,3,4,2,4
1,41,21,43,5,5,5,5,5,4,4,3,2,4
1,49,27,36,5,5,5,5,5,5,5,3,5,5
1,40,17,22,4,4,2,4,4,2,3,4,2,2
2,30,11,43,5,5,4,4,5,5,5,3,4,4
1,35,7,210,3,5,4,3,3,2,5,4,3,3
2,36,26,56,5,5,5,4,4,4,4,3,4,4
2,32,6,55,4,4,4,4,4,4,4,3,4,3
2,32,25,17,5,5,5,5,5,5,5,5,5,5
1,32,3,256,5,5,5,5,5,5,5,5,5,5
2,29,12,15,5,5,5,4,5,4,4,5,5,4
1,33,11,25,4,4,4,4,4,4,4,4,4,4
1,44,25,44,5,5,5,5,5,5,5,4,4,4
2,28,4,35,5,5,5,5,5,5,5,4,5,5
1,32,3,256,4,4,4,4,4,4,2,3,4,3
1,28,7,207,5,5,5,5,5,4,5,3,4,4
1,51,9,13,5,5,5,5,5,5,5,5,5,5
1,32,3,256,5,4,5,5,4,3,1,3,3,1
1,41,10,43,4,3,4,5,4,4,3,3,3,4
1,35,7,210,5,5,5,5,5,3,3,1,5,4
1,42,27,41,5,5,5,4,4,4,3,3,4,5
1,45,21,56,4,4,4,3,3,1,2,3,2,3
1,35,8,62,4,4,4,3,4,4,4,3,4,4
1,45,21,23,5,5,5,4,4,5,5,4,5,4
1,45,21,56,4,4,3,3,3,2,3,2,3,2
1,19,16,28,5,5,5,5,5,5,5,5,5,5
2,32,6,55,5,4,4,3,4,4,4,4,4,3
1,32,3,256,5,5,5,4,4,4,3,4,4,4
2,32,10,18,5,5,5,5,5,5,5,5,5,5
1,46,14,103,5,4,5,5,3,4,5,5,3,3
2,32,6,55,4,4,4,4,4,4,4,4,4,4
2,24,2,9,5,5,5,5,5,5,5,5,5,5
2,29,7,9,0,0,5,4,3,4,4,3,4,4
1,24,3,15,4,4,4,4,4,5,5,5,4,4
2,26,3,9,5,5,5,5,4,5,5,4,4,5
2,46,6,37,5,4,5,3,5,5,5,5,4,4
2,30,23,6,4,4,4,4,4,4,4,3,3,4
1,42,10,42,4,4,4,3,3,3,4,3,3,3
1,40,17,22,4,3,4,4,3,3,4,3,3,3
1,32,3,256,5,5,5,5,5,5,4,2,4,4
1,32,11,59,3,2,3,1,2,3,2,3,2,3
1,46,14,103,5,5,4,5,5,4,5,3,5,0
2,28,11,8,3,5,4,4,4,5,4,4,3,4
1,34,18,39,5,5,5,4,5,4,4,3,3,4
1,48,16,36,4,5,4,4,4,3,4,3,3,3
1,32,3,49,5,5,5,5,5,5,5,5,5,5
1,40,17,22,5,5,5,4,4,4,5,3,5,4
1,32,3,256,5,5,5,4,4,4,3,2,4,4
1,34,19,15,4,4,4,4,4,5,4,4,4,4
1,32,3,256,5,5,5,5,5,5,0,0,5,2
2,46,6,37,4,3,4,4,4,2,4,3,4,4
1,44,11,17,4,5,4,4,4,5,5,5,4,4
1,41,10,43,5,5,5,5,5,5,4,5,5,4
1,22,8,19,5,5,5,4,5,5,4,4,4,4
1,32,3,49,5,5,5,5,5,5,5,3,5,4
1,28,7,207,5,5,5,5,5,5,5,5,5,4
1,40,17,22,4,5,4,4,4,4,3,3,4,3
1,35,8,62,4,3,1,2,3,2,3,3,2,2
1,42,10,42,5,5,5,5,4,4,5,4,4,4
2,24,3,22,5,5,5,5,5,5,5,5,5,3
1,34,19,21,3,4,4,2,3,3,3,4,1,1
1,39,1,9,4,5,4,4,5,5,5,5,4,4
1,44,25,44,5,5,5,4,5,5,5,4,4,4
1,33,5,50,5,5,5,3,3,4,4,3,4,4
2,31,2,46,5,5,5,5,5,5,5,5,5,5
1,48,16,36,5,5,5,4,4,3,4,3,4,5
2,31,2,46,5,5,5,4,3,4,3,4,4,4
2,32,6,55,4,4,4,4,4,3,3,4,4,4
1,30,12,35,5,5,4,5,3,2,3,4,2,2
1,42,27,41,4,5,5,5,5,4,4,4,5,2
2,42,10,34,5,5,5,5,3,2,5,4,4,1
1,44,25,64,4,4,4,4,5,4,4,3,4,4
1,28,7,207,5,5,5,5,5,4,5,5,5,5
1,32,11,128,5,4,4,5,4,3,4,3,3,3
2,28,11,43,5,5,4,5,4,5,5,4,4,4
1,35,7,210,4,5,3,2,4,3,3,3,2,2
2,30,11,3,5,4,4,5,4,4,4,3,4,4
1,30,10,31,5,5,5,5,5,5,5,4,2,3
2,25,5,8,5,5,5,5,5,5,5,5,5,5
1,21,3,11,5,5,5,5,5,5,5,4,4,4
1,35,7,210,5,5,5,4,4,3,1,4,3,2
1,32,11,128,5,4,5,4,4,4,5,3,4,4
1,41,10,43,4,4,4,4,4,4,4,3,4,4
1,35,7,210,5,5,5,5,4,3,4,3,3,2
2,25,9,13,4,5,4,4,5,5,5,5,4,3
1,41,12,31,4,4,4,4,4,5,4,4,4,4
1,24,8,15,5,5,5,4,5,5,5,5,4,5
2,41,9,65,4,4,4,4,4,3,4,3,4,4
1,33,11,20,4,4,5,4,4,5,5,3,4,4
2,29,2,16,4,5,5,5,4,4,5,5,4,4
1,37,36,15,5,5,5,4,5,5,5,4,4,4
1,40,16,12,5,5,5,5,5,5,5,4,4,5
2,23,3,8,4,5,5,4,5,4,4,3,4,4
1,26,15,16,5,5,5,5,5,5,4,4,3,4
1,32,3,256,5,5,5,3,5,3,1,4,5,1
1,35,21,9,3,4,4,2,3,3,4,4,3,4
1,28,7,207,5,5,5,5,5,4,5,3,5,5
1,21,7,9,4,4,4,4,4,2,4,4,3,1
2,31,2,46,5,5,5,5,5,5,5,5,4,5
2,33,2,24,5,5,5,5,5,5,5,3,5,5
1,44,25,44,5,5,5,5,5,5,5,5,5,5
1,33,26,9,4,5,5,4,4,4,4,5,3,4
1,32,3,256,5,5,5,4,5,5,0,4,4,3
1,32,11,128,5,5,5,4,5,5,4,5,4,4
1,32,3,256,5,5,5,5,5,5,5,5,5,4
1,35,21,9,4,5,5,4,4,4,5,3,5,3
2,26,3,9,5,5,5,5,5,5,5,5,5,5
1,34,18,39,4,2,3,3,3,1,1,2,4,1
1,35,8,62,4,4,3,3,4,2,3,3,2,2
2,29,2,40,3,3,5,5,4,3,2,2,2,3
1,33,11,20,5,5,5,5,5,5,5,5,5,5
1,42,10,42,4,5,5,4,4,5,5,4,4,4
